#abgabe.csv
#Veronika
#Zapodobnikova
#01328458
group,number,duration,numberOfKeys,keyGroup,averageDurationLookupTrie,averageDurationLookupTree,averageDurationLookupList
Insert and Lookup,114,3187065,720,shuffled,75,107,465
Insert and Lookup,115,4304806,730,shuffled,92,128,972
Insert and Lookup,116,4066886,740,shuffled,80,150,757
Insert and Lookup,117,5012903,750,shuffled,120,179,835
Insert and Lookup,118,3616226,760,shuffled,71,115,516
Insert and Lookup,119,4601947,770,shuffled,76,159,932
Insert and Lookup,120,3475285,780,shuffled,77,117,598
Insert and Lookup,121,3532649,790,shuffled,77,107,568
Insert and Lookup,122,3607543,800,shuffled,74,113,585
Insert and Lookup,123,5126076,810,shuffled,107,229,1139
Insert and Lookup,124,4620411,820,shuffled,72,166,636
Insert and Lookup,125,4196571,830,shuffled,76,147,744
Insert and Lookup,126,4636650,840,shuffled,74,155,772
Insert and Lookup,127,4391764,850,shuffled,74,169,692
Insert and Lookup,128,4412455,860,shuffled,73,146,819
Insert and Lookup,129,4313275,870,shuffled,72,144,672
Insert and Lookup,130,4601870,880,shuffled,86,184,808
Insert and Lookup,131,4862247,890,shuffled,84,177,747
Insert and Lookup,132,4348885,900,shuffled,74,152,633
Insert and Lookup,133,5308348,910,shuffled,86,147,901
Insert and Lookup,134,4736818,920,shuffled,70,158,721
Insert and Lookup,135,5055614,930,shuffled,80,161,833
Insert and Lookup,136,4819604,940,shuffled,80,117,684
Insert and Lookup,137,4893019,950,shuffled,83,138,759
Insert and Lookup,138,5122962,960,shuffled,81,176,780
Insert and Lookup,139,4409667,970,shuffled,74,115,570
Insert and Lookup,140,4885309,980,shuffled,78,116,868
Insert and Lookup,141,4368603,990,shuffled,75,95,641
Insert and Lookup,142,4483230,1000,shuffled,77,154,600
Insert and Lookup,143,4328412,1010,shuffled,75,96,560
Insert and Lookup,144,4469996,1020,shuffled,75,93,562
Insert and Lookup,145,4310086,1030,shuffled,76,92,564
Insert and Lookup,146,4515299,1040,shuffled,76,104,560
Insert and Lookup,147,4623145,1050,shuffled,75,95,596
Insert and Lookup,148,4681692,1060,shuffled,74,91,595
Insert and Lookup,149,4744267,1070,shuffled,72,94,611
Insert and Lookup,150,4844198,1080,shuffled,74,115,651
Insert and Lookup,151,4728359,1090,shuffled,78,93,607
Insert and Lookup,152,5173294,1100,shuffled,79,95,661
Insert and Lookup,153,5142283,1110,shuffled,79,114,722
Insert and Lookup,154,6043733,1120,shuffled,99,97,937
Insert and Lookup,155,5236500,1130,shuffled,79,121,705
Insert and Lookup,156,7847612,1140,shuffled,76,122,758
Insert and Lookup,157,4306457,1150,shuffled,71,138,774
Insert and Lookup,158,5886010,1160,shuffled,62,183,1072
Insert and Lookup,159,3977499,1170,shuffled,66,102,770
Insert and Lookup,160,5377516,1180,shuffled,75,205,1103
Insert and Lookup,161,4262646,1190,shuffled,73,117,753
Insert and Lookup,162,4140914,1200,shuffled,56,119,695
Insert and Lookup,163,5632423,1210,shuffled,76,209,1042
Insert and Lookup,164,4669210,1220,shuffled,72,156,810
Insert and Lookup,165,4791139,1230,shuffled,73,109,927
Insert and Lookup,166,6338586,1240,shuffled,78,186,1159
Insert and Lookup,167,4507674,1250,shuffled,67,107,807
Insert and Lookup,168,6093059,1260,shuffled,87,196,1246
Insert and Lookup,169,5179648,1270,shuffled,59,169,842
Insert and Lookup,170,6041247,1280,shuffled,74,185,1179
Insert and Lookup,171,4716834,1290,shuffled,66,92,755
Insert and Lookup,172,6792422,1300,shuffled,146,193,1300
Insert and Lookup,173,4935042,1310,shuffled,70,105,802
Insert and Lookup,174,5240980,1320,shuffled,81,114,957
Insert and Lookup,175,5150546,1330,shuffled,60,141,874
Insert and Lookup,176,5353283,1340,shuffled,57,161,842
Insert and Lookup,177,4480403,1350,shuffled,54,113,635
Insert and Lookup,178,4991413,1360,shuffled,55,108,732
Insert and Lookup,179,4885767,1370,shuffled,59,92,784
Insert and Lookup,180,4619261,1380,shuffled,55,85,648
Insert and Lookup,181,4535266,1390,shuffled,57,84,639
Insert and Lookup,182,4679596,1400,shuffled,55,91,728
Insert and Lookup,183,4827921,1410,shuffled,53,97,787
Insert and Lookup,184,4874669,1420,shuffled,58,84,740
Insert and Lookup,185,4810990,1430,shuffled,57,94,704
Insert and Lookup,186,5069022,1440,shuffled,62,88,776
Insert and Lookup,187,4989846,1450,shuffled,53,86,684
Insert and Lookup,188,4685532,1460,shuffled,55,84,547
Insert and Lookup,189,4530177,1470,shuffled,50,78,651
Insert and Lookup,190,4628309,1480,shuffled,48,74,628
Insert and Lookup,191,4549413,1490,shuffled,49,75,594
Insert and Lookup,192,4670128,1500,shuffled,50,82,626
Insert and Lookup,193,4974120,1510,shuffled,50,90,720
Insert and Lookup,194,4783624,1520,shuffled,51,80,663
Insert and Lookup,195,4931793,1530,shuffled,49,73,750
Insert and Lookup,196,4846844,1540,shuffled,48,75,649
Insert and Lookup,197,6832757,1550,shuffled,77,176,1115
Insert and Lookup,198,6182942,1560,shuffled,61,143,860
Insert and Lookup,199,5452620,1570,shuffled,48,84,878
Insert and Lookup,200,7130890,1580,shuffled,56,135,983
Insert and Lookup,201,10498438,1590,shuffled,66,154,1282
Insert and Lookup,202,5766185,1600,shuffled,58,93,897
Insert and Lookup,203,7661606,1610,shuffled,63,177,1361
Insert and Lookup,204,7110960,1620,shuffled,70,146,1403
Insert and Lookup,205,6800658,1630,shuffled,63,157,1114
Insert and Lookup,206,7523519,1640,shuffled,75,200,1478
Insert and Lookup,207,6661583,1650,shuffled,63,155,1116
Insert and Lookup,208,7854032,1660,shuffled,70,196,1330
Insert and Lookup,209,6869548,1670,shuffled,66,106,1122
Insert and Lookup,210,7097746,1680,shuffled,63,147,1131
Insert and Lookup,211,6673826,1690,shuffled,63,161,1051
Insert and Lookup,212,6724045,1700,shuffled,60,128,1020
Insert and Lookup,213,6351446,1710,shuffled,64,118,986
Insert and Lookup,214,6472910,1720,shuffled,58,93,1060
Insert and Lookup,215,7136614,1730,shuffled,60,129,1204
Insert and Lookup,216,6545727,1740,shuffled,59,131,951
Insert and Lookup,217,7011129,1750,shuffled,67,141,1188
Insert and Lookup,218,6654585,1760,shuffled,56,99,1029
Insert and Lookup,219,6668676,1770,shuffled,60,90,1008
Insert and Lookup,220,6688742,1780,shuffled,64,93,1040
Insert and Lookup,221,6865440,1790,shuffled,60,93,1052
Insert and Lookup,222,6918978,1800,shuffled,59,123,1066
Insert and Lookup,223,6824048,1810,shuffled,61,88,1034
Insert and Lookup,224,6765023,1820,shuffled,56,90,1046
Insert and Lookup,225,6252292,1830,shuffled,51,101,892
Insert and Lookup,226,6631844,1840,shuffled,51,129,936
Insert and Lookup,227,9789795,1850,shuffled,61,261,1784
Insert and Lookup,228,7964299,1860,shuffled,73,179,1277
Insert and Lookup,229,7815883,1870,shuffled,54,138,1098
Insert and Lookup,230,9482905,1880,shuffled,65,204,1657
Insert and Lookup,231,7685038,1890,shuffled,58,105,1183
Insert and Lookup,232,11793488,1900,shuffled,78,210,2210
Insert and Lookup,233,10515759,1910,shuffled,63,191,1701
Insert and Lookup,234,9133716,1920,shuffled,64,129,1522
Insert and Lookup,235,9120381,1930,shuffled,78,123,1564
Insert and Lookup,236,8193748,1940,shuffled,60,151,1226
Insert and Lookup,237,13080318,1950,shuffled,77,141,1560
Insert and Lookup,238,7768188,1960,shuffled,66,108,1162
Insert and Lookup,239,8526209,1970,shuffled,61,116,1289
Insert and Lookup,240,7947461,1980,shuffled,62,97,1202
Insert and Lookup,241,8098205,1990,shuffled,59,94,1194
Insert and Lookup,242,8026148,2000,shuffled,60,95,1240
Insert and Lookup,243,8157032,2010,shuffled,58,92,1305
Insert and Lookup,244,8171928,2020,shuffled,68,88,1253
Insert and Lookup,245,8967859,2030,shuffled,64,131,1346
Insert and Lookup,246,8449476,2040,shuffled,61,91,1310
Insert and Lookup,247,10099782,2050,shuffled,66,141,1692
Insert and Lookup,248,8403059,2060,shuffled,59,90,1320
Insert and Lookup,249,8517325,2070,shuffled,61,91,1286
Insert and Lookup,250,9536770,2080,shuffled,67,107,1594
Insert and Lookup,251,9564230,2090,shuffled,62,132,1427
Insert and Lookup,252,10351160,2100,shuffled,64,131,1685
Insert and Lookup,253,10606205,2110,shuffled,65,146,1770
Insert and Lookup,254,10802280,2120,shuffled,71,155,1821
Insert and Lookup,255,10951140,2130,shuffled,78,148,1839
Insert and Lookup,256,9506111,2140,shuffled,61,115,1506
Insert and Lookup,257,10501068,2150,shuffled,62,165,1502
Insert and Lookup,258,12016278,2160,shuffled,65,181,1973
Insert and Lookup,259,11806079,2170,shuffled,68,195,1960
Insert and Lookup,260,9861249,2180,shuffled,63,140,1460
Insert and Lookup,261,10286141,2190,shuffled,66,132,1636
Insert and Lookup,262,9712509,2200,shuffled,62,101,1480
Insert and Lookup,263,9406772,2210,shuffled,63,86,1397
Insert and Lookup,264,9565838,2220,shuffled,58,122,1407
Insert and Lookup,265,9787819,2230,shuffled,58,96,1503
Insert and Lookup,266,9680031,2240,shuffled,60,97,1454
Insert and Lookup,267,11628975,2250,shuffled,52,84,1383
Insert and Lookup,268,9384492,2260,shuffled,52,90,1462
Insert and Lookup,269,9349307,2270,shuffled,56,82,1446
Insert and Lookup,270,12256647,2280,shuffled,67,201,2135
Insert and Lookup,271,12617761,2290,shuffled,88,190,2063
Insert and Lookup,272,12688374,2300,shuffled,71,136,2128
Insert and Lookup,273,12779868,2310,shuffled,79,210,2110
Insert and Lookup,274,12698749,2320,shuffled,75,179,2112
Insert and Lookup,275,13006896,2330,shuffled,75,163,2113
Insert and Lookup,276,12821240,2340,shuffled,76,187,2184
Insert and Lookup,277,13127952,2350,shuffled,70,182,2241
Insert and Lookup,278,12146322,2360,shuffled,70,172,1932
Insert and Lookup,279,11019557,2370,shuffled,59,96,1692
Insert and Lookup,280,11361970,2380,shuffled,68,94,1683
Insert and Lookup,281,10835228,2390,shuffled,58,95,1660
Insert and Lookup,282,12506498,2400,shuffled,65,153,2143
Insert and Lookup,283,11578878,2410,shuffled,64,106,1900
Insert and Lookup,284,11171276,2420,shuffled,61,101,1703
Insert and Lookup,285,11228340,2430,shuffled,60,91,1705
Insert and Lookup,286,11370506,2440,shuffled,59,87,1754
Insert and Lookup,287,10101327,2450,shuffled,52,93,1499
Insert and Lookup,288,13732875,2460,shuffled,60,163,2082
Insert and Lookup,289,10637829,2470,shuffled,59,138,1507
Insert and Lookup,290,12991169,2480,shuffled,67,130,2088
Insert and Lookup,291,14082749,2490,shuffled,67,193,2194
Insert and Lookup,292,14719456,2500,shuffled,66,259,2289
Insert and Lookup,293,17864967,2510,shuffled,95,189,2280
Insert and Lookup,294,14161523,2520,shuffled,73,195,2157
Insert and Lookup,295,13495549,2530,shuffled,67,144,1967
Insert and Lookup,296,12607426,2540,shuffled,73,111,1846
Insert and Lookup,297,12440901,2550,shuffled,71,100,1760
Insert and Lookup,298,12149912,2560,shuffled,67,104,1791
Insert and Lookup,299,12461056,2570,shuffled,63,93,1840
Insert and Lookup,300,12326465,2580,shuffled,58,100,1825
Insert and Lookup,301,12435419,2590,shuffled,67,92,1880
Insert and Lookup,302,11129615,2600,shuffled,51,95,1581
Insert and Lookup,303,14857856,2610,shuffled,76,112,2474
Insert and Lookup,304,14527165,2620,shuffled,65,177,2288
Insert and Lookup,305,15195125,2630,shuffled,71,205,2238
Insert and Lookup,306,15234456,2640,shuffled,62,205,2292
Insert and Lookup,307,15564868,2650,shuffled,65,192,2291
Insert and Lookup,308,16092915,2660,shuffled,72,149,2388
Insert and Lookup,309,16107038,2670,shuffled,69,191,2354
Insert and Lookup,310,14357730,2680,shuffled,68,144,2035
Insert and Lookup,311,13404745,2690,shuffled,58,103,1931
Insert and Lookup,312,13111596,2700,shuffled,58,100,1903
Insert and Lookup,313,14005139,2710,shuffled,70,133,1987
Insert and Lookup,314,13460402,2720,shuffled,59,94,1979
Insert and Lookup,315,13761979,2730,shuffled,57,94,2008
Insert and Lookup,316,13761408,2740,shuffled,59,89,1965
Insert and Lookup,317,18259805,2750,shuffled,75,97,2614
Insert and Lookup,318,15418751,2760,shuffled,67,153,2275
Insert and Lookup,319,16351407,2770,shuffled,68,164,2478
Insert and Lookup,320,18733632,2780,shuffled,74,207,2981
Insert and Lookup,321,17358082,2790,shuffled,67,162,2685
Insert and Lookup,322,16289616,2800,shuffled,67,162,2492
Insert and Lookup,323,17188505,2810,shuffled,65,181,2597
Insert and Lookup,324,15830639,2820,shuffled,66,135,2299
Insert and Lookup,325,16725686,2830,shuffled,67,111,2740
Insert and Lookup,326,15958028,2840,shuffled,65,86,2599
Insert and Lookup,327,15081584,2850,shuffled,64,97,2254
Insert and Lookup,328,14706581,2860,shuffled,63,90,2146
Insert and Lookup,329,16002517,2870,shuffled,64,118,2330
Insert and Lookup,330,18856381,2880,shuffled,65,202,2919
Insert and Lookup,331,18809579,2890,shuffled,85,235,2784
Insert and Lookup,332,17903996,2900,shuffled,71,124,2627
Insert and Lookup,333,19370787,2910,shuffled,81,191,2881
Insert and Lookup,334,18654556,2920,shuffled,76,187,2793
Insert and Lookup,335,18859999,2930,shuffled,69,191,2835
Insert and Lookup,336,16143216,2940,shuffled,59,106,2278
Insert and Lookup,337,15857488,2950,shuffled,61,95,2316
Insert and Lookup,338,16100926,2960,shuffled,63,100,2371
Insert and Lookup,339,18022193,2970,shuffled,52,117,2227
Insert and Lookup,340,15098921,2980,shuffled,51,97,2188
Insert and Lookup,341,13764446,2990,shuffled,49,81,1876
Insert and Lookup,342,17336966,3000,shuffled,60,123,2469
Insert and Lookup,343,20316132,3010,shuffled,72,199,2874
Insert and Lookup,344,18437179,3020,shuffled,67,177,2595
Insert and Lookup,345,20367732,3030,shuffled,74,250,2880
Insert and Lookup,346,18969319,3040,shuffled,72,186,2695
Insert and Lookup,347,20906632,3050,shuffled,74,226,2939
Insert and Lookup,348,17765610,3060,shuffled,64,140,2410
Insert and Lookup,349,17045854,3070,shuffled,62,102,2380
Insert and Lookup,350,16760421,3080,shuffled,63,102,2367
Insert and Lookup,351,16998502,3090,shuffled,61,92,2368
Insert and Lookup,352,16830515,3100,shuffled,53,102,2318
Insert and Lookup,353,16216201,3110,shuffled,55,89,2310
Insert and Lookup,354,21614478,3120,shuffled,70,198,3067
Insert and Lookup,355,20355186,3130,shuffled,72,169,2975
Insert and Lookup,356,21681214,3140,shuffled,68,209,2991
Insert and Lookup,357,21656686,3150,shuffled,81,195,3028
Insert and Lookup,358,20684489,3160,shuffled,82,134,2879
Insert and Lookup,359,18549893,3170,shuffled,68,96,2532
Insert and Lookup,360,20073519,3180,shuffled,67,116,2459
Insert and Lookup,361,17823292,3190,shuffled,66,94,2475
Insert and Lookup,362,17980387,3200,shuffled,58,93,2507
Insert and Lookup,363,16410395,3210,shuffled,52,79,2231
Insert and Lookup,364,20732941,3220,shuffled,64,119,3045
Insert and Lookup,365,22471703,3230,shuffled,70,238,3197
Insert and Lookup,366,22058777,3240,shuffled,86,172,3117
Insert and Lookup,367,21776766,3250,shuffled,75,192,2896
Insert and Lookup,368,22222457,3260,shuffled,69,216,3002
Insert and Lookup,369,19847399,3270,shuffled,61,166,2667
Insert and Lookup,370,19967830,3280,shuffled,64,142,2667
Insert and Lookup,371,19520926,3290,shuffled,60,102,2597
Insert and Lookup,372,18871524,3300,shuffled,60,141,2503
Insert and Lookup,373,18074839,3310,shuffled,53,89,2448
Insert and Lookup,374,17634046,3320,shuffled,53,83,2399
Insert and Lookup,375,23586133,3330,shuffled,75,184,3212
Insert and Lookup,376,24782017,3340,shuffled,73,264,3387
Insert and Lookup,377,25090630,3350,shuffled,87,190,3554
Insert and Lookup,378,24854287,3360,shuffled,98,246,3377
Insert and Lookup,379,25103791,3370,shuffled,63,146,3081
Insert and Lookup,380,20082017,3380,shuffled,64,125,2622
Insert and Lookup,381,19398330,3390,shuffled,62,100,2559
Insert and Lookup,382,18641201,3400,shuffled,56,86,2407
Insert and Lookup,383,20210883,3410,shuffled,60,168,2739
Insert and Lookup,384,19888041,3420,shuffled,58,97,2599
Insert and Lookup,385,23675731,3430,shuffled,71,167,3232
Insert and Lookup,386,24748429,3440,shuffled,65,201,3296
Insert and Lookup,387,24809126,3450,shuffled,68,222,3338
Insert and Lookup,388,22856554,3460,shuffled,68,123,3052
Insert and Lookup,389,24735728,3470,shuffled,78,189,3266
Insert and Lookup,390,21023446,3480,shuffled,65,102,2796
Insert and Lookup,391,21207016,3490,shuffled,63,100,2788
Insert and Lookup,392,19768328,3500,shuffled,53,98,2608
Insert and Lookup,393,18256612,3510,shuffled,50,81,2357
Insert and Lookup,394,18338662,3520,shuffled,51,79,2377
Insert and Lookup,395,23552437,3530,shuffled,60,139,3193
Insert and Lookup,396,26112012,3540,shuffled,70,196,3373
Insert and Lookup,397,28608793,3550,shuffled,73,192,3365
Insert and Lookup,398,25995568,3560,shuffled,71,207,3363
Insert and Lookup,399,25012095,3570,shuffled,75,188,3323
Insert and Lookup,400,21980288,3580,shuffled,58,96,2888
Insert and Lookup,401,21789428,3590,shuffled,59,114,2840
Insert and Lookup,402,22351996,3600,shuffled,65,123,2908
Insert and Lookup,403,19417594,3610,shuffled,50,81,2508
Insert and Lookup,404,24683500,3620,shuffled,67,148,3266
Insert and Lookup,405,32848084,3630,shuffled,77,243,4064
Insert and Lookup,406,27129231,3640,shuffled,73,197,3488
Insert and Lookup,407,27141580,3650,shuffled,64,198,3564
Insert and Lookup,408,24424493,3660,shuffled,67,131,3021
Insert and Lookup,409,22756774,3670,shuffled,58,96,2933
Insert and Lookup,410,23441015,3680,shuffled,66,164,3031
Insert and Lookup,411,20269250,3690,shuffled,54,79,2550
Insert and Lookup,412,21593435,3700,shuffled,52,93,2755
Insert and Lookup,413,27941330,3710,shuffled,68,204,3646
Insert and Lookup,414,28616040,3720,shuffled,76,134,3340
Insert and Lookup,415,28965034,3730,shuffled,85,198,3859
Insert and Lookup,416,27806054,3740,shuffled,89,158,3715
Insert and Lookup,417,24340945,3750,shuffled,61,102,3096
Insert and Lookup,418,23831489,3760,shuffled,59,156,3076
Insert and Lookup,419,21958585,3770,shuffled,55,96,2802
Insert and Lookup,420,25311758,3780,shuffled,61,93,3490
Insert and Lookup,421,25581435,3790,shuffled,62,160,3231
Insert and Lookup,422,28590590,3800,shuffled,86,174,3789
Insert and Lookup,423,28215341,3810,shuffled,72,203,3573
Insert and Lookup,424,28507877,3820,shuffled,65,221,3609
Insert and Lookup,425,25670168,3830,shuffled,64,118,3264
Insert and Lookup,426,23925931,3840,shuffled,59,98,2962
Insert and Lookup,427,23230745,3850,shuffled,55,88,2881
Insert and Lookup,428,26205421,3860,shuffled,78,139,3451
Insert and Lookup,429,28016829,3870,shuffled,82,202,3601
Insert and Lookup,430,28080450,3880,shuffled,71,171,3568
Insert and Lookup,431,31483839,3890,shuffled,71,180,3671
Insert and Lookup,432,29099815,3900,shuffled,80,200,3591
Insert and Lookup,433,26032189,3910,shuffled,59,95,3265
Insert and Lookup,434,27849741,3920,shuffled,68,147,3588
Insert and Lookup,435,26036751,3930,shuffled,60,98,3255
Insert and Lookup,436,29998327,3940,shuffled,73,150,3792
Insert and Lookup,437,29663728,3950,shuffled,81,214,3680
Insert and Lookup,438,30967353,3960,shuffled,96,221,3840
Insert and Lookup,439,31317034,3970,shuffled,64,201,3901
Insert and Lookup,440,27870433,3980,shuffled,68,165,3428
Insert and Lookup,441,26904241,3990,shuffled,58,91,3346
Insert and Lookup,442,24008131,4000,shuffled,50,118,2907
Insert and Lookup,443,25972561,4010,shuffled,60,92,3302
Insert and Lookup,444,28915865,4020,shuffled,58,164,3691
Insert and Lookup,445,30752069,4030,shuffled,85,201,3689
Insert and Lookup,446,34238843,4040,shuffled,75,171,3922
Insert and Lookup,447,31400874,4050,shuffled,70,225,3900
Insert and Lookup,448,28004584,4060,shuffled,61,164,3489
Insert and Lookup,449,28041743,4070,shuffled,60,95,3447
Insert and Lookup,450,25668953,4080,shuffled,56,93,3071
Insert and Lookup,451,24874959,4090,shuffled,53,82,3011
Insert and Lookup,452,33904529,4100,shuffled,65,224,4268
Insert and Lookup,453,32679156,4110,shuffled,83,165,4025
Insert and Lookup,454,31513660,4120,shuffled,69,166,3880
Insert and Lookup,455,32286131,4130,shuffled,69,183,3883
Insert and Lookup,456,28493945,4140,shuffled,57,97,3476
Insert and Lookup,457,25023017,4150,shuffled,54,80,2957
Insert and Lookup,458,27520618,4160,shuffled,51,112,3286
Insert and Lookup,459,26687815,4170,shuffled,55,83,3166
Insert and Lookup,460,33960258,4180,shuffled,63,199,4118
Insert and Lookup,461,35621012,4190,shuffled,76,120,4537
Insert and Lookup,462,38566128,4200,shuffled,84,132,4497
Insert and Lookup,463,31251660,4210,shuffled,62,176,3672
Insert and Lookup,464,30940914,4220,shuffled,77,159,3631
Insert and Lookup,465,29293152,4230,shuffled,56,94,3512
Insert and Lookup,466,27301880,4240,shuffled,51,122,3284
Insert and Lookup,467,31012409,4250,shuffled,61,135,3818
Insert and Lookup,468,33636836,4260,shuffled,72,163,4119
Insert and Lookup,469,33224112,4270,shuffled,79,136,3956
Insert and Lookup,470,33949021,4280,shuffled,66,194,4024
Insert and Lookup,471,31963304,4290,shuffled,66,151,3760
Insert and Lookup,472,31315165,4300,shuffled,66,147,3675
Insert and Lookup,473,28851408,4310,shuffled,57,117,3357
Insert and Lookup,474,33292961,4320,shuffled,69,146,4046
Insert and Lookup,475,35887911,4330,shuffled,73,194,4282
Insert and Lookup,476,39762552,4340,shuffled,90,191,4436
Insert and Lookup,477,33548919,4350,shuffled,65,116,3964
Insert and Lookup,478,33758093,4360,shuffled,63,97,4110
Insert and Lookup,479,33983503,4370,shuffled,66,96,4085
Insert and Lookup,480,34727659,4380,shuffled,72,173,4126
