#small-prim.csv
#Veronika
#Zapodobnikova
#
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Small - Sparse - Prim,37,122649,1|3|4|6,4,1-1|3-6|4-1|6-1
Small - Sparse - Prim,38,153610,1|3|4|5,4,1-1|3-4|4-1|5-4
Small - Sparse - Prim,39,164414,1|3|4|5|6,5,1-1|3-6|4-1|5-6|6-1
Small - Sparse - Prim,40,57642,1|2,2,1-1|2-1
Small - Sparse - Prim,41,84842,1|2|6,3,1-1|2-1|6-1
Small - Sparse - Prim,42,58039,1|2|5,3,1-1|2-1|5-2
Small - Sparse - Prim,43,98146,1|2|5|6,4,1-1|2-1|5-2|6-1
Small - Sparse - Prim,44,60329,1|2|4,3,1-1|2-1|4-1
Small - Sparse - Prim,45,79157,1|2|4|6,4,1-1|2-1|4-1|6-1
Small - Sparse - Prim,46,72864,1|2|4|5,4,1-1|2-1|4-1|5-2
Small - Sparse - Prim,47,83784,1|2|4|5|6,5,1-1|2-1|4-1|5-2|6-1
Small - Sparse - Prim,48,52463,1|2|3,3,1-1|2-1|3-2
Small - Sparse - Prim,49,65305,1|2|3|6,4,1-1|2-1|3-6|6-1
Small - Sparse - Prim,50,61033,1|2|3|5,4,1-1|2-1|3-2|5-2
Small - Sparse - Prim,51,86578,1|2|3|5|6,5,1-1|2-1|3-6|5-2|6-1
Small - Sparse - Prim,52,76670,1|2|3|4,4,1-1|2-1|3-4|4-1
Small - Sparse - Prim,53,106778,1|2|3|4|6,5,1-1|2-1|3-6|4-1|6-1
Small - Sparse - Prim,54,110747,1|2|3|4|5,5,1-1|2-1|3-4|4-1|5-2
Small - Sparse - Prim,55,117077,1|2|3|4|5|6,6,1-1|2-1|3-6|4-1|5-2|6-1
Small - Dense - Prim,56,55732,6,1,6-1
Small - Dense - Prim,57,32602,5,1,5-1
Small - Dense - Prim,58,126554,5|6,2,5-1|6-5
Small - Dense - Prim,59,46102,4,1,4-1
Small - Dense - Prim,60,76725,4|6,2,4-1|6-4
Small - Dense - Prim,61,74539,4|5,2,4-1|5-4
Small - Dense - Prim,62,137330,4|5|6,3,4-1|5-6|6-4
Small - Dense - Prim,63,40243,3,1,3-1
Small - Dense - Prim,64,49845,3|6,2,3-1|6-3
Small - Dense - Prim,65,44107,3|5,2,3-1|5-3
Small - Dense - Prim,66,90188,3|5|6,3,3-1|5-3|6-3
Small - Dense - Prim,67,45793,3|4,2,3-1|4-3
Small - Dense - Prim,68,76569,3|4|6,3,3-1|4-3|6-3
Small - Dense - Prim,69,87759,3|4|5,3,3-1|4-3|5-3
Small - Dense - Prim,70,80957,3|4|5|6,4,3-1|4-3|5-3|6-3
Small - Dense - Prim,71,24500,2,1,2-1
Small - Dense - Prim,72,45484,2|6,2,2-1|6-2
Small - Dense - Prim,73,42377,2|5,2,2-1|5-2
Small - Dense - Prim,74,73883,2|5|6,3,2-1|5-2|6-2
Small - Dense - Prim,75,33562,2|4,2,2-1|4-2
Small - Dense - Prim,76,50331,2|4|6,3,2-1|4-2|6-2
Small - Dense - Prim,77,52749,2|4|5,3,2-1|4-2|5-2
Small - Dense - Prim,78,50289,2|4|5|6,4,2-1|4-2|5-2|6-2
Small - Dense - Prim,79,30872,2|3,2,2-1|3-2
Small - Dense - Prim,80,39581,2|3|6,3,2-1|3-6|6-2
Small - Dense - Prim,81,45811,2|3|5,3,2-1|3-5|5-2
Small - Dense - Prim,82,58297,2|3|5|6,4,2-1|3-5|5-2|6-3
Small - Dense - Prim,83,43020,2|3|4,3,2-1|3-4|4-2
Small - Dense - Prim,84,75610,2|3|4|6,4,2-1|3-6|4-2|6-2
Small - Dense - Prim,85,63274,2|3|4|5,4,2-1|3-5|4-2|5-2
Small - Dense - Prim,86,89143,2|3|4|5|6,5,2-1|3-5|4-2|5-2|6-3
Small - Dense - Prim,87,20630,1,1,1-1
Small - Dense - Prim,88,42764,1|6,2,1-1|6-1
Small - Dense - Prim,89,34430,1|5,2,1-1|5-1
Small - Dense - Prim,90,43409,1|5|6,3,1-1|5-1|6-1
Small - Dense - Prim,91,42826,1|4,2,1-1|4-1
Small - Dense - Prim,92,66900,1|4|6,3,1-1|4-1|6-1
Small - Dense - Prim,93,70919,1|4|5,3,1-1|4-1|5-1
Small - Dense - Prim,94,59690,1|4|5|6,4,1-1|4-1|5-1|6-1
Small - Dense - Prim,95,36321,1|3,2,1-1|3-1
Small - Dense - Prim,96,46584,1|3|6,3,1-1|3-1|6-3
Small - Dense - Prim,97,45072,1|3|5,3,1-1|3-5|5-1
Small - Dense - Prim,98,60333,1|3|5|6,4,1-1|3-5|5-1|6-3
Small - Dense - Prim,99,76464,1|3|4,3,1-1|3-1|4-1
Small - Dense - Prim,100,82461,1|3|4|6,4,1-1|3-1|4-1|6-3
Small - Dense - Prim,101,63293,1|3|4|5,4,1-1|3-5|4-1|5-1
Small - Dense - Prim,102,94094,1|3|4|5|6,5,1-1|3-5|4-1|5-1|6-3
Small - Dense - Prim,103,49461,1|2,2,1-1|2-1
Small - Dense - Prim,104,46271,1|2|6,3,1-1|2-1|6-2
Small - Dense - Prim,105,52289,1|2|5,3,1-1|2-5|5-1
Small - Dense - Prim,106,54513,1|2|5|6,4,1-1|2-5|5-1|6-2
Small - Dense - Prim,107,46925,1|2|4,3,1-1|2-1|4-2
Small - Dense - Prim,108,67757,1|2|4|6,4,1-1|2-1|4-2|6-2
Small - Dense - Prim,109,65898,1|2|4|5,4,1-1|2-5|4-2|5-1
Small - Dense - Prim,110,75667,1|2|4|5|6,5,1-1|2-5|4-2|5-1|6-2
Small - Dense - Prim,111,62010,1|2|3,3,1-1|2-1|3-1
Small - Dense - Prim,112,52811,1|2|3|6,4,1-1|2-1|3-6|6-2
Small - Dense - Prim,113,55577,1|2|3|5,4,1-1|2-5|3-5|5-1
Small - Dense - Prim,114,70576,1|2|3|5|6,5,1-1|2-5|3-5|5-1|6-3
Small - Dense - Prim,115,68758,1|2|3|4,4,1-1|2-1|3-1|4-2
Small - Dense - Prim,116,68966,1|2|3|4|6,5,1-1|2-1|3-6|4-2|6-2
Small - Dense - Prim,117,101902,1|2|3|4|5,5,1-1|2-5|3-5|4-2|5-1
Small - Dense - Prim,118,162576,1|2|3|4|5|6,6,1-1|2-5|3-5|4-2|5-1|6-3
