#medium-kruskal.csv
#Veronika
#Zapodobnikova
#
group,number,duration,relevantVertices,numberOfRelevantVertices,selectedEdges
Medium - Sparse - Kruskal,11,169447,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,18,26-25|30-29|33-32|22-21|27-26|31-30|25-24|32-31|20-19|24-23|34-33|21-20|28-27|23-22|29-28|35-34|36-35|0-0
Medium - Sparse - Kruskal,12,167431,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,23,46-21|26-25|30-29|33-32|22-21|27-26|31-30|47-22|25-24|32-31|48-23|20-19|49-48|24-23|34-33|21-20|50-25|28-27|23-22|29-28|35-34|36-35|0-0
Medium - Sparse - Kruskal,13,185895,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,40-39|26-25|30-29|33-32|41-40|22-21|27-26|31-30|37-36|42-41|43-42|25-24|32-31|20-19|45-20|38-37|44-19|24-23|34-33|21-20|28-27|23-22|29-28|44-43|39-38|35-34|0-0
Medium - Sparse - Kruskal,14,181890,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,40-39|46-21|26-25|30-29|33-32|41-40|22-21|27-26|31-30|37-36|42-41|43-42|47-22|25-24|32-31|48-23|20-19|45-20|38-37|44-19|49-48|24-23|34-33|21-20|50-25|28-27|23-22|29-28|44-43|39-38|35-34|0-0
Medium - Sparse - Kruskal,15,179233,10|11|12|13|14|15|16|17|18,9,16-15|12-11|14-13|17-16|13-12|15-14|11-10|18-17|0-0
Medium - Sparse - Kruskal,16,166204,10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45,18,40-39|43-18|16-15|40-15|41-40|12-11|42-41|43-42|14-13|17-16|38-37|13-12|15-14|11-10|37-12|44-43|45-44|0-0
Medium - Sparse - Kruskal,17,167872,10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,40-39|43-18|16-15|40-15|41-40|12-11|42-41|43-42|14-13|17-16|38-37|49-48|13-12|15-14|47-46|11-10|50-49|37-12|44-43|45-44|46-45|48-47|0-0
Medium - Sparse - Kruskal,18,152284,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36,18,16-15|30-29|33-32|31-30|12-11|14-13|32-31|17-16|34-33|13-12|15-14|11-10|29-28|36-11|35-34|36-35|18-17|0-0
Medium - Sparse - Kruskal,19,170495,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,40-39|43-18|16-15|30-29|40-15|33-32|41-40|31-30|12-11|37-36|42-41|43-42|14-13|32-31|17-16|38-37|34-33|13-12|15-14|11-10|29-28|37-12|44-43|45-44|35-34|36-35|0-0
Medium - Sparse - Kruskal,20,162269,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,40-39|43-18|16-15|30-29|40-15|33-32|41-40|31-30|12-11|37-36|42-41|43-42|14-13|32-31|17-16|38-37|49-48|34-33|13-12|15-14|47-46|11-10|50-49|29-28|37-12|44-43|45-44|35-34|36-35|46-45|48-47|0-0
Medium - Sparse - Kruskal,21,147964,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,18,16-15|26-25|22-21|27-26|12-11|14-13|25-24|19-18|20-19|17-16|24-23|13-12|15-14|11-10|21-20|23-22|18-17|0-0
Medium - Sparse - Kruskal,22,227651,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|46|47|48|49|50,23,46-21|16-15|26-25|22-21|27-26|12-11|14-13|47-22|25-24|48-23|19-18|20-19|17-16|49-48|24-23|13-12|15-14|11-10|21-20|50-25|23-22|18-17|0-0
Medium - Sparse - Kruskal,23,143853,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,27,40-39|43-18|16-15|26-25|40-15|41-40|22-21|27-26|12-11|42-41|43-42|14-13|25-24|19-18|20-19|45-20|17-16|38-37|44-19|24-23|13-12|15-14|11-10|21-20|23-22|37-12|0-0
Medium - Sparse - Kruskal,24,153617,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,40-39|46-21|43-18|16-15|26-25|40-15|41-40|22-21|27-26|12-11|42-41|43-42|14-13|47-22|25-24|48-23|19-18|20-19|45-20|17-16|38-37|44-19|49-48|24-23|13-12|15-14|11-10|21-20|50-25|23-22|37-12|0-0
Medium - Sparse - Kruskal,25,147545,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,27,16-15|26-25|30-29|33-32|22-21|27-26|31-30|12-11|14-13|25-24|32-31|19-18|20-19|17-16|24-23|34-33|13-12|15-14|11-10|21-20|28-27|23-22|29-28|36-11|35-34|36-35|0-0
Medium - Sparse - Kruskal,26,150722,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,46-21|16-15|26-25|30-29|33-32|22-21|27-26|31-30|12-11|14-13|47-22|25-24|32-31|48-23|19-18|20-19|17-16|49-48|24-23|34-33|13-12|15-14|11-10|21-20|50-25|28-27|23-22|29-28|36-11|35-34|36-35|0-0
Medium - Sparse - Kruskal,27,165076,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,40-39|43-18|16-15|26-25|30-29|40-15|33-32|41-40|22-21|27-26|31-30|12-11|37-36|42-41|43-42|14-13|25-24|32-31|19-18|20-19|45-20|17-16|38-37|44-19|24-23|34-33|13-12|15-14|11-10|21-20|28-27|23-22|29-28|37-12|35-34|0-0
Medium - Sparse - Kruskal,28,186033,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,40-39|46-21|43-18|16-15|26-25|30-29|40-15|33-32|41-40|22-21|27-26|31-30|12-11|37-36|42-41|43-42|14-13|47-22|25-24|32-31|48-23|19-18|20-19|45-20|17-16|38-37|44-19|49-48|24-23|34-33|13-12|15-14|11-10|21-20|50-25|28-27|23-22|29-28|37-12|35-34|0-0
Medium - Sparse - Kruskal,29,215383,1|2|3|4|5|6|7|8|9,9,9-8|7-6|2-1|8-7|4-3|3-2|6-5|5-4|0-0
Medium - Sparse - Kruskal,30,124753,1|2|3|4|5|6|7|8|9|46|47|48|49|50,14,9-8|7-6|2-1|50-1|49-48|8-7|47-46|4-3|50-49|3-2|6-5|5-4|48-47|0-0
Medium - Sparse - Kruskal,31,127161,1|2|3|4|5|6|7|8|9|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,40-39|41-40|42-41|43-42|9-8|7-6|2-1|50-1|38-37|49-48|8-7|47-46|4-3|50-49|3-2|6-5|44-43|39-38|45-44|5-4|46-45|48-47|0-0
Medium - Sparse - Kruskal,32,208159,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36,18,34-9|30-29|33-32|31-30|9-8|7-6|32-31|2-1|8-7|34-33|30-5|4-3|3-2|29-28|28-3|35-34|36-35|0-0
Medium - Sparse - Kruskal,33,229178,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|46|47|48|49|50,23,34-9|30-29|33-32|31-30|9-8|7-6|32-31|2-1|50-1|49-48|8-7|34-33|30-5|47-46|4-3|50-49|3-2|29-28|28-3|35-34|36-35|48-47|0-0
Medium - Sparse - Kruskal,34,231918,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,40-39|34-9|30-29|33-32|41-40|31-30|37-36|42-41|43-42|9-8|7-6|32-31|2-1|38-37|8-7|34-33|30-5|4-3|3-2|29-28|44-43|28-3|39-38|45-44|35-34|36-35|0-0
Medium - Sparse - Kruskal,35,235945,1|2|3|4|5|6|7|8|9|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,40-39|34-9|30-29|33-32|41-40|31-30|37-36|42-41|43-42|9-8|7-6|32-31|2-1|50-1|38-37|49-48|8-7|34-33|30-5|47-46|4-3|50-49|3-2|29-28|44-43|28-3|39-38|45-44|35-34|36-35|46-45|0-0
Medium - Sparse - Kruskal,36,155799,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27,18,26-25|26-1|22-21|27-26|9-8|7-6|25-24|20-19|2-1|8-7|24-23|21-20|4-3|3-2|23-22|6-5|5-4|0-0
Medium - Sparse - Kruskal,37,118092,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|46|47|48|49|50,23,46-21|26-25|26-1|22-21|27-26|9-8|47-22|7-6|25-24|48-23|20-19|2-1|50-1|49-48|8-7|24-23|21-20|4-3|3-2|23-22|6-5|5-4|0-0
Medium - Sparse - Kruskal,38,198408,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,27,40-39|26-25|26-1|41-40|22-21|27-26|42-41|43-42|9-8|7-6|25-24|20-19|45-20|2-1|38-37|44-19|8-7|24-23|21-20|4-3|3-2|23-22|6-5|44-43|39-38|5-4|0-0
Medium - Sparse - Kruskal,39,230486,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,40-39|46-21|26-25|26-1|41-40|22-21|27-26|42-41|43-42|9-8|47-22|7-6|25-24|48-23|20-19|45-20|2-1|50-1|38-37|44-19|49-48|8-7|24-23|21-20|4-3|3-2|23-22|6-5|44-43|39-38|5-4|0-0
Medium - Sparse - Kruskal,40,210538,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,27,26-25|34-9|26-1|30-29|33-32|22-21|27-26|31-30|9-8|7-6|25-24|32-31|20-19|2-1|8-7|24-23|34-33|30-5|21-20|4-3|28-27|3-2|23-22|29-28|35-34|36-35|0-0
Medium - Sparse - Kruskal,41,206782,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,46-21|26-25|34-9|26-1|30-29|33-32|22-21|27-26|31-30|9-8|47-22|7-6|25-24|32-31|48-23|20-19|2-1|50-1|49-48|8-7|24-23|34-33|30-5|21-20|4-3|28-27|3-2|23-22|29-28|35-34|36-35|0-0
Medium - Sparse - Kruskal,42,157486,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,40-39|26-25|34-9|26-1|30-29|33-32|41-40|22-21|27-26|31-30|37-36|42-41|43-42|9-8|7-6|25-24|32-31|20-19|45-20|2-1|38-37|44-19|8-7|24-23|34-33|30-5|21-20|4-3|28-27|3-2|23-22|29-28|44-43|39-38|35-34|0-0
Medium - Sparse - Kruskal,43,127558,1|2|3|4|5|6|7|8|9|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,40-39|46-21|26-25|34-9|26-1|30-29|33-32|41-40|22-21|27-26|31-30|37-36|42-41|43-42|9-8|47-22|7-6|25-24|32-31|48-23|20-19|45-20|2-1|50-1|38-37|44-19|49-48|8-7|24-23|34-33|30-5|21-20|4-3|28-27|3-2|23-22|29-28|44-43|39-38|35-34|0-0
Medium - Sparse - Kruskal,44,103840,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18,18,16-15|12-11|9-8|14-13|7-6|2-1|17-16|8-7|13-12|15-14|11-10|4-3|10-9|3-2|6-5|5-4|18-17|0-0
Medium - Sparse - Kruskal,45,104765,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|46|47|48|49|50,23,16-15|12-11|9-8|14-13|7-6|2-1|50-1|17-16|49-48|8-7|13-12|15-14|47-46|11-10|4-3|10-9|50-49|3-2|6-5|5-4|18-17|48-47|0-0
Medium - Sparse - Kruskal,46,110109,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45,27,40-39|43-18|16-15|40-15|41-40|12-11|42-41|43-42|9-8|14-13|7-6|2-1|17-16|38-37|8-7|13-12|15-14|11-10|4-3|10-9|3-2|6-5|37-12|44-43|45-44|5-4|0-0
Medium - Sparse - Kruskal,47,123596,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,40-39|43-18|16-15|40-15|41-40|12-11|42-41|43-42|9-8|14-13|7-6|2-1|50-1|17-16|38-37|49-48|8-7|13-12|15-14|47-46|11-10|4-3|10-9|50-49|3-2|6-5|37-12|44-43|45-44|5-4|46-45|0-0
Medium - Sparse - Kruskal,48,116851,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36,27,16-15|34-9|30-29|33-32|31-30|12-11|9-8|14-13|7-6|32-31|2-1|17-16|8-7|34-33|13-12|30-5|15-14|11-10|4-3|10-9|3-2|29-28|28-3|36-11|35-34|18-17|0-0
Medium - Sparse - Kruskal,49,125772,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|46|47|48|49|50,32,16-15|34-9|30-29|33-32|31-30|12-11|9-8|14-13|7-6|32-31|2-1|50-1|17-16|49-48|8-7|34-33|13-12|30-5|15-14|47-46|11-10|4-3|10-9|50-49|3-2|29-28|28-3|36-11|35-34|18-17|48-47|0-0
Medium - Sparse - Kruskal,50,174442,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,36,40-39|43-18|16-15|34-9|30-29|40-15|33-32|41-40|31-30|12-11|37-36|42-41|43-42|9-8|14-13|7-6|32-31|2-1|17-16|38-37|8-7|34-33|13-12|30-5|15-14|11-10|4-3|10-9|3-2|29-28|37-12|44-43|28-3|45-44|35-34|0-0
Medium - Sparse - Kruskal,51,124259,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,40-39|43-18|16-15|34-9|30-29|40-15|33-32|41-40|31-30|12-11|37-36|42-41|43-42|9-8|14-13|7-6|32-31|2-1|50-1|17-16|38-37|49-48|8-7|34-33|13-12|30-5|15-14|47-46|11-10|4-3|10-9|50-49|3-2|29-28|37-12|44-43|28-3|45-44|35-34|46-45|0-0
Medium - Sparse - Kruskal,52,155918,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,27,16-15|26-25|26-1|22-21|27-26|12-11|9-8|14-13|7-6|25-24|19-18|20-19|2-1|17-16|8-7|24-23|13-12|15-14|11-10|21-20|4-3|10-9|3-2|23-22|6-5|5-4|0-0
Medium - Sparse - Kruskal,53,192609,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|46|47|48|49|50,32,46-21|16-15|26-25|26-1|22-21|27-26|12-11|9-8|14-13|47-22|7-6|25-24|48-23|19-18|20-19|2-1|50-1|17-16|49-48|8-7|24-23|13-12|15-14|11-10|21-20|4-3|10-9|3-2|23-22|6-5|5-4|0-0
Medium - Sparse - Kruskal,54,202515,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,36,40-39|43-18|16-15|26-25|26-1|40-15|41-40|22-21|27-26|12-11|42-41|43-42|9-8|14-13|7-6|25-24|19-18|20-19|45-20|2-1|17-16|38-37|44-19|8-7|24-23|13-12|15-14|11-10|21-20|4-3|10-9|3-2|23-22|6-5|37-12|0-0
Medium - Sparse - Kruskal,55,133491,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,41,40-39|46-21|43-18|16-15|26-25|26-1|40-15|41-40|22-21|27-26|12-11|42-41|43-42|9-8|14-13|47-22|7-6|25-24|48-23|19-18|20-19|45-20|2-1|50-1|17-16|38-37|44-19|49-48|8-7|24-23|13-12|15-14|11-10|21-20|4-3|10-9|3-2|23-22|6-5|37-12|0-0
Medium - Sparse - Kruskal,56,123675,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,36,16-15|26-25|34-9|26-1|30-29|33-32|22-21|27-26|31-30|12-11|9-8|14-13|7-6|25-24|32-31|19-18|20-19|2-1|17-16|8-7|24-23|34-33|13-12|30-5|15-14|11-10|21-20|4-3|10-9|28-27|3-2|23-22|29-28|36-11|35-34|0-0
Medium - Sparse - Kruskal,57,135320,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,41,46-21|16-15|26-25|34-9|26-1|30-29|33-32|22-21|27-26|31-30|12-11|9-8|14-13|47-22|7-6|25-24|32-31|48-23|19-18|20-19|2-1|50-1|17-16|49-48|8-7|24-23|34-33|13-12|30-5|15-14|11-10|21-20|4-3|10-9|28-27|3-2|23-22|29-28|36-11|35-34|0-0
Medium - Sparse - Kruskal,58,130156,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,45,40-39|43-18|16-15|26-25|34-9|26-1|30-29|40-15|33-32|41-40|22-21|27-26|31-30|12-11|37-36|42-41|43-42|9-8|14-13|7-6|25-24|32-31|19-18|20-19|45-20|2-1|17-16|38-37|44-19|8-7|24-23|34-33|13-12|30-5|15-14|11-10|21-20|4-3|10-9|28-27|3-2|23-22|37-12|35-34|0-0
Medium - Sparse - Kruskal,59,122233,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,50,40-39|46-21|43-18|16-15|26-25|34-9|26-1|30-29|40-15|33-32|41-40|22-21|27-26|31-30|12-11|37-36|42-41|43-42|9-8|14-13|47-22|7-6|25-24|32-31|48-23|19-18|20-19|45-20|2-1|50-1|17-16|38-37|44-19|49-48|8-7|24-23|34-33|13-12|30-5|15-14|11-10|21-20|4-3|10-9|28-27|3-2|23-22|37-12|35-34|0-0
Medium - Dense - Kruskal,60,1946682,46|47|48|49|50,5,49-46|50-47|50-48|50-46|0-0
Medium - Dense - Kruskal,61,1116358,37|38|39|40|41|42|43|44|45,9,40-39|40-37|41-40|42-41|43-42|45-43|44-42|43-38|0-0
Medium - Dense - Kruskal,62,1000110,37|38|39|40|41|42|43|44|45|46|47|48|49|50,14,49-39|40-39|49-37|48-37|49-46|46-41|49-43|50-45|48-38|50-43|50-47|42-41|44-42|0-0
Medium - Dense - Kruskal,63,872168,28|29|30|31|32|33|34|35|36,9,35-32|34-31|34-32|33-29|33-28|31-28|30-29|36-31|0-0
Medium - Dense - Kruskal,64,893019,28|29|30|31|32|33|34|35|36|46|47|48|49|50,14,35-32|34-31|34-32|46-33|33-29|33-28|46-30|47-36|31-28|47-29|49-46|48-33|50-36|0-0
Medium - Dense - Kruskal,65,1506975,28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,18,35-32|39-30|42-29|34-31|34-32|38-30|40-39|33-29|38-28|40-29|42-34|45-30|39-36|40-37|41-33|43-36|44-34|0-0
Medium - Dense - Kruskal,66,847545,28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,35-32|39-30|42-29|49-39|34-31|34-32|38-30|40-39|46-33|33-29|38-28|40-29|42-34|45-30|49-37|39-36|41-33|47-36|48-37|49-43|50-45|44-34|0-0
Medium - Dense - Kruskal,67,1181542,19|20|21|22|23|24|25|26|27,9,25-21|21-19|27-24|23-19|26-24|26-20|26-25|22-21|0-0
Medium - Dense - Kruskal,68,1379563,19|20|21|22|23|24|25|26|27|46|47|48|49|50,14,25-21|46-26|48-20|21-19|27-24|47-23|46-21|23-19|26-24|50-27|49-46|26-20|50-22|0-0
Medium - Dense - Kruskal,69,1281126,19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45,18,37-22|25-21|39-21|40-39|42-22|21-19|27-24|38-22|45-23|38-25|41-23|23-19|26-24|40-27|44-23|41-20|43-22|0-0
Medium - Dense - Kruskal,70,860325,19|20|21|22|23|24|25|26|27|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,37-22|49-39|25-21|39-21|40-39|42-22|46-26|48-20|21-19|27-24|38-22|45-23|47-23|49-37|41-23|46-21|48-37|23-19|26-24|44-23|50-27|43-22|0-0
Medium - Dense - Kruskal,71,1314698,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36,18,35-26|35-27|35-32|25-21|29-26|31-20|31-21|34-31|34-32|21-19|27-24|33-29|33-28|34-22|23-19|36-21|30-29|0-0
Medium - Dense - Kruskal,72,1416357,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|46|47|48|49|50,23,35-26|35-27|35-32|25-21|29-26|31-20|31-21|34-31|34-32|46-26|46-33|48-20|21-19|27-24|47-23|33-28|34-22|46-30|47-36|23-19|50-27|49-46|0-0
Medium - Dense - Kruskal,73,1470830,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,35-26|35-27|35-32|37-22|39-30|42-29|25-21|29-26|31-20|31-21|34-31|34-32|38-30|39-21|40-39|42-22|21-19|27-24|33-29|38-28|45-23|45-30|39-36|41-23|44-23|43-22|0-0
Medium - Dense - Kruskal,74,1463337,19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,35-26|35-27|35-32|37-22|39-30|42-29|49-39|25-21|29-26|31-20|31-21|34-31|34-32|38-30|39-21|40-39|42-22|46-26|46-33|48-20|21-19|27-24|38-28|45-23|45-30|47-23|39-36|41-23|44-23|50-27|43-22|0-0
Medium - Dense - Kruskal,75,1349564,10|11|12|13|14|15|16|17|18,9,18-10|17-11|18-13|18-11|15-12|16-12|12-11|14-13|0-0
Medium - Dense - Kruskal,76,1399422,10|11|12|13|14|15|16|17|18|46|47|48|49|50,14,18-10|46-12|49-12|49-16|50-14|48-12|48-13|17-11|18-13|18-11|15-12|47-11|49-14|0-0
Medium - Dense - Kruskal,77,1463154,10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45,18,18-10|43-14|37-10|40-39|41-14|17-11|18-13|37-14|40-37|18-11|38-12|38-14|15-12|16-12|42-15|44-17|45-43|0-0
Medium - Dense - Kruskal,78,1439380,10|11|12|13|14|15|16|17|18|37|38|39|40|41|42|43|44|45|46|47|48|49|50,23,18-10|43-14|46-12|49-12|49-39|37-10|40-39|41-14|49-16|50-14|48-12|48-13|49-37|17-11|37-14|18-11|38-12|15-12|47-11|42-15|44-17|50-45|0-0
Medium - Dense - Kruskal,79,1512711,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36,18,18-10|30-15|33-10|35-32|31-11|33-11|34-31|34-32|30-14|31-14|33-29|34-13|17-11|33-28|15-12|16-12|36-31|0-0
Medium - Dense - Kruskal,80,1239618,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|46|47|48|49|50,23,18-10|30-15|33-10|35-32|46-12|49-12|31-11|33-11|34-31|34-32|46-33|49-16|50-14|30-14|31-14|33-29|34-13|48-12|17-11|33-28|47-36|47-29|0-0
Medium - Dense - Kruskal,81,1443072,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45,27,18-10|30-15|33-10|35-32|39-30|42-29|43-14|31-11|33-11|34-31|34-32|37-10|38-30|40-39|41-14|30-14|31-14|33-29|34-13|38-28|45-30|17-11|39-36|38-12|16-12|44-17|0-0
Medium - Dense - Kruskal,82,1730928,10|11|12|13|14|15|16|17|18|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50,32,18-10|30-15|33-10|35-32|39-30|42-29|43-14|46-12|49-12|49-39|31-11|33-11|34-31|34-32|37-10|38-30|40-39|41-14|46-33|49-16|50-14|30-14|33-29|34-13|38-28|45-30|48-12|17-11|39-36|47-36|44-17|0-0
Medium - Dense - Kruskal,83,1539574,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27,18,18-10|21-10|25-21|21-19|27-15|27-24|17-11|18-13|20-10|22-12|18-11|20-15|23-19|26-24|15-12|16-12|19-14|0-0
Medium - Dense - Kruskal,84,1092572,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|46|47|48|49|50,23,18-10|46-12|49-12|21-10|25-21|46-26|48-20|49-16|50-14|21-19|27-15|27-24|47-23|48-12|48-13|17-11|18-13|22-12|18-11|20-15|23-19|50-27|0-0
