1,Pre Order,1,9395,9395
25,Pre Order,63,19861|42616|30580|13808|34533|18004|27043|20152|307|38821|25223|10137|6809|39041|5465|722|32659|44377|27800|38203|26583|37124|39150|35971|22286|6867|40194|28621|31777|34890|34238|35818|5701|44531|34113|4958|9743|48363|40954|30182,38203|38821|34533|42616|19861|30580|13808|27043|18004|20152|307|5465|10137|25223|6809|39041|32659|722|44377|27800|34890|22286|37124|26583|39150|35971|40194|6867|28621|31777|34113|35818|34238|5701|44531|48363|4958|9743|40954|30182
26,Pre Order,1023,48741|2307|17055|2407|22987|28676|34649|49980|25479|28096|33946|16566|42966|21102|39407|2254|39483|43183|90|14330|48760|17727|17778|6698|30869|31454|12181|42204|41425|26755|12474|27458|35054|49973|1791|1963|33794|47189|28189|26068,43183|34649|48741|2307|17055|2407|22987|28676|28096|49980|25479|16566|33946|42966|21102|39407|2254|39483|12181|14330|90|48760|17727|17778|6698|30869|31454|27458|42204|41425|26755|12474|49973|35054|1791|1963|33794|47189|28189|26068
27,Pre Order,63,28718|11235|19958|14925|37839|9104|649|19920|27991|8709|28565|16974|18832|7127|12900|1977|26775|30417|28379|42146|2442|6468|32161|38160|47775|8108|11324|27363|10237|9484|18006|34902|47697|22398|41208|24660|44063|37789|19362|30689|31372|36337|15075|49320|43894|592|30943|11937|26377|7277,47775|16974|9104|19958|28718|11235|14925|37839|27991|649|19920|8709|28565|30417|12900|18832|7127|1977|26775|2442|28379|42146|32161|6468|38160|37789|18006|27363|8108|11324|10237|9484|22398|34902|47697|24660|41208|44063|49320|31372|19362|30689|36337|15075|30943|43894|592|26377|11937|7277
28,Pre Order,1023,17035|15007|12656|49949|9166|23472|46344|36823|4683|34263|17648|44144|33523|30233|48001|14883|48313|26829|7211|16724|32486|315|4544|39837|17306|41079|30298|44328|45714|2824|21161|15917|23649|18767|42622|12167|47876|10834|47523|814|40081|27797|11698|32263|12987|42876|36608|49111|3407|25970,4544|4683|15007|17035|12656|49949|9166|23472|46344|36823|30233|34263|17648|44144|33523|14883|48001|48313|26829|7211|16724|32486|315|42622|30298|39837|17306|41079|45714|44328|2824|21161|15917|23649|18767|40081|12167|47876|10834|47523|814|32263|27797|11698|12987|42876|36608|49111|3407|25970
29,Pre Order,63,43970|48282|39608|14249|23466|25528|45338|15873|34275|212|26683|10785|22399|22203|6502|46616|43430|48984|31898|35046|14685|42361|18763|20520|41098|45194|25980|15090|15843|20811|36601|39728|21449|10755|42637|26815|28572|42695|33947|17344|13827|35806|23912|22368|24707|15430|30571|28149|15513|22062|6985|28675|24202|12469|29417|19699|18924|12934|43276|14952,20811|6502|45338|39608|43970|48282|23466|14249|25528|26683|34275|15873|212|22399|10785|22203|42361|48984|46616|43430|35046|31898|14685|45194|20520|18763|41098|15090|25980|15843|24707|28572|21449|36601|39728|42637|10755|26815|13827|33947|42695|17344|23912|35806|22368|24202|15513|30571|15430|28149|6985|22062|28675|18924|29417|12469|19699|43276|12934|14952
30,Pre Order,1023,6648|10449|256|47513|42140|36436|46203|12961|30278|7194|6769|25063|28297|1389|40059|42124|2626|37261|23735|39225|30454|11227|7955|27989|4899|37874|25337|10364|47997|46962|35256|6362|2970|8174|49232|15935|27763|29718|39440|47932|14264|37629|11691|30913|3761|21774|44799|13607|25398|12343|35027|5569|8898|22921|26851|36809|11174|46261|14792|35184,10364|25063|47513|6648|10449|256|36436|42140|46203|12961|30278|7194|6769|37261|28297|1389|40059|42124|2626|30454|23735|39225|11227|7955|27989|4899|37874|25337|37629|2970|47997|46962|35256|6362|49232|8174|15935|27763|29718|39440|47932|14264|25398|11691|30913|3761|21774|44799|13607|8898|12343|35027|5569|26851|22921|36809|11174|46261|14792|35184
31,Pre Order,127,29317|11347|21278|39812|49072|40708|11822|4055|4857|37573|36439|11845|44362|26496|16350|30834|1636|39346|22242|3576|2994|41404|8825|17793|7491|6763|43795|29033|47673|2779|46535|21228|32199|37410|26937|27638|34131|32753|20689|33758|21389|39774|30859|36313|37966|12527|33131|10298|46509|9702|20415|26075|16544|2675|37177|32335|8488|3858|28300|14632|47734|8063|12976|10627|23139|24179|40561|36900|44504|27125,26937|1636|4055|39812|11347|29317|21278|40708|49072|11822|11845|37573|4857|36439|26496|44362|16350|30834|6763|2994|22242|39346|3576|8825|41404|17793|7491|2779|29033|43795|47673|21228|46535|32199|37410|16544|36313|20689|34131|27638|32753|21389|33758|39774|30859|10298|12527|37966|33131|9702|46509|20415|26075|8063|8488|37177|2675|32335|28300|3858|14632|47734|24179|10627|12976|23139|36900|40561|44504|27125
32,Pre Order,2047,39283|49796|38468|19473|34245|13397|30682|11591|334|48674|28530|19442|44013|24700|14878|34861|29443|22489|15580|14255|3876|3561|32534|41129|40898|42466|33827|28682|49708|16092|31358|37379|2154|17822|13107|1698|13004|39893|17794|48808|2989|20716|21422|3445|10744|37434|11784|47236|16604|26868|48521|26722|14335|6575|28427|41993|26214|43472|48574|12571|6731|38087|27494|3647|34638|6834|1306|17908|40838|29447,2154|24700|34245|39283|49796|38468|19473|30682|13397|11591|334|48674|28530|19442|44013|3876|14878|34861|29443|22489|15580|14255|40898|3561|32534|41129|33827|42466|28682|49708|16092|31358|37379|26868|17794|17822|13107|1698|13004|39893|20716|48808|2989|3445|21422|10744|37434|11784|47236|16604|43472|26722|48521|14335|6575|28427|41993|26214|38087|48574|12571|6731|3647|27494|34638|6834|1306|17908|40838|29447
33,Pre Order,127,41134|29256|25662|23126|4193|1106|37092|44675|30320|20858|38930|45213|37778|17878|41139|18489|6963|7580|28708|19316|48699|21453|25328|9855|7181|36914|27796|33223|9272|2935|47287|1088|29696|35910|49263|33362|18957|48353|36238|44024|20375|27523|8053|22871|31659|26757|7451|28939|28528|35290|3380|32116|12938|46901|25437|7614|44983|423|32638|36378|2282|24041|26681|36835|29469|41234|28105|46739|46182|47949|1072|17338|11960|23962|34031|49324|7293|46747|22795|9049,44024|19316|20858|4193|29256|41134|25662|23126|37092|1106|44675|30320|41139|45213|38930|37778|17878|6963|18489|7580|28708|2935|7181|21453|48699|25328|9855|27796|36914|33223|9272|49263|1088|47287|29696|35910|18957|33362|48353|36238|36378|35290|31659|27523|20375|8053|22871|7451|26757|28939|28528|25437|32116|3380|12938|46901|44983|7614|423|32638|47949|29469|24041|2282|26681|36835|28105|41234|46739|46182|34031|17338|1072|11960|23962|46747|49324|7293|22795|9049
34,Pre Order,2047,48312|35866|27322|37023|17472|21696|34443|27732|49358|3343|14822|15157|32786|22247|24307|19616|21584|2618|30052|19194|47912|17138|1654|44586|31582|34823|47081|6054|16204|10807|37213|13911|15816|983|10588|28936|1962|45487|1098|1489|23850|41164|45983|43262|32463|14590|43535|44210|9231|5370|36255|10320|10276|7757|49947|33595|31977|12517|49161|43801|33273|28499|18017|20239|33953|8785|45419|15318|48423|12185|27485|21849|8246|13412|41087|49970|37751|21464|20442|34447,45487|21584|21696|48312|35866|27322|37023|17472|49358|34443|27732|14822|3343|15157|32786|22247|24307|19616|31582|30052|2618|19194|47912|17138|1654|44586|16204|34823|47081|6054|37213|10807|13911|15816|983|10588|28936|1962|31977|32463|1098|1489|23850|41164|45983|43262|9231|14590|43535|44210|36255|5370|10320|10276|7757|49947|33595|45419|43801|12517|49161|33273|28499|18017|20239|33953|8785|21849|15318|48423|12185|27485|13412|8246|41087|49970|37751|21464|20442|34447
35,Pre Order,127,20878|39100|40387|2857|18798|527|21828|14452|40789|6655|8918|49057|24156|4771|45010|33994|17118|40182|17161|27471|7908|11930|42404|12542|28548|24520|21624|20815|49733|42089|43043|48668|49857|38268|10649|12540|40435|32764|26946|24760|29748|25001|3562|30754|19058|36678|38980|11793|22266|10217|26819|3148|2355|2464|39987|34727|9071|5418|25278|21928|34728|46924|16680|43374|40565|5800|41366|18890|27615|13807|48228|41205|28106|11774|17815|29587|24117|42574|23065|12833|31204|45587|14557|29191|12771|39081|3981|36691|25660|26186,19058|11930|8918|18798|39100|20878|40387|2857|14452|527|21828|40789|6655|33994|24156|49057|4771|45010|17161|17118|40182|27471|7908|49857|21624|12542|42404|28548|24520|42089|20815|49733|43043|48668|26946|12540|38268|10649|40435|32764|25001|24760|29748|3562|30754|18890|34727|10217|38980|36678|11793|22266|2355|26819|3148|2464|39987|46924|25278|9071|5418|21928|34728|40565|16680|43374|5800|41366|23065|28106|13807|27615|48228|41205|29587|11774|17815|24117|42574|12771|45587|12833|31204|14557|29191|36691|39081|3981|25660|26186
36,Pre Order,2047,39780|41073|30988|21602|21189|25892|24313|37289|2434|1996|18146|3512|2519|12892|34838|32759|19953|41650|6922|32418|36910|12544|1989|6549|33414|40501|16770|35274|37404|7166|31511|28716|10366|36388|41596|10734|30615|24184|43847|3521|17934|39105|14163|35548|40535|12163|36872|2057|36779|36933|18157|33185|9944|37262|30429|11441|39151|490|3906|45516|39696|38186|13198|27082|45760|30867|47067|24523|28132|31119|6733|21833|44965|1330|14808|29210|943|14919|32963|45693|21274|2016|35490|37698|14134|11550|3398|15936|305|16304,14163|6922|24313|39780|41073|30988|21602|21189|25892|18146|37289|2434|1996|2519|3512|12892|34838|32759|19953|41650|37404|12544|32418|36910|1989|6549|33414|40501|16770|35274|36388|7166|31511|28716|10366|10734|41596|30615|24184|43847|3521|17934|39105|45760|33185|40535|35548|12163|36872|2057|36779|36933|18157|11441|9944|37262|30429|490|39151|3906|45516|39696|38186|13198|27082|29210|24523|30867|47067|31119|28132|6733|21833|44965|1330|14808|21274|943|14919|32963|45693|37698|2016|35490|14134|11550|3398|15936|305|16304
37,Pre Order,127,11798|11393|13673|29907|29203|28181|33959|39144|22976|43153|1007|34020|39765|45316|9107|29610|43926|12821|46400|32085|13493|25878|37700|3787|5446|10700|15311|17018|36241|208|4553|4112|48454|46992|11309|28289|27246|24287|46414|29277|728|3375|12741|35308|8365|45779|12092|12837|27472|4479|20208|46198|17223|33073|44695|49458|15103|892|47203|26305|30553|46841|41773|9092|36506|13463|38129|14267|37601|5154|26695|1164|82|31670|34200|13417|17002|34117|11867|4648|24010|14121|14869|47973|4565|8455|4746|11343|41487|22630|42001|3263|15642|31616|14987|22030|38292|12898|30959|5433,4479|5446|34020|28181|13673|11798|11393|29907|29203|22976|33959|39144|43153|1007|12821|9107|39765|45316|29610|43926|13493|46400|32085|37700|25878|3787|27246|4553|17018|10700|15311|36241|208|46992|4112|48454|11309|28289|12741|29277|24287|46414|728|3375|45779|35308|8365|12837|12092|27472|34200|46841|49458|17223|20208|46198|33073|44695|47203|15103|892|26305|30553|14267|36506|41773|9092|13463|38129|26695|37601|5154|82|1164|31670|11343|24010|34117|13417|17002|11867|4648|47973|14121|14869|8455|4565|4746|31616|42001|41487|22630|3263|15642|38292|14987|22030|30959|12898|5433
38,Pre Order,2047,48976|18582|32380|47135|24860|18547|9962|41680|49085|7233|35860|37651|1640|17821|42428|6085|29415|17194|34534|38520|37135|10864|46521|35954|16683|31604|41600|26304|25295|42633|38062|27394|26897|33680|40971|38244|21856|11462|22467|21689|795|8338|32574|11884|47994|20518|21140|23678|10383|34585|16097|24857|48431|2291|35940|20399|16094|30201|16701|47377|36583|15363|22278|18831|29125|41759|36790|22901|2711|32736|32566|22508|39616|5426|35204|16773|29083|28871|4377|29561|5061|18457|40863|30436|6375|11838|40628|40411|24562|3936|27464|20706|27542|14277|1696|31424|22941|40853|40920|4983,23678|10864|49085|18582|48976|32380|47135|24860|18547|9962|41680|1640|7233|35860|37651|42428|17821|6085|29415|17194|34534|38520|37135|26897|16683|46521|35954|41600|31604|26304|25295|42633|38062|27394|11462|33680|40971|38244|21856|795|22467|21689|8338|32574|11884|47994|20518|21140|22508|30201|16097|10383|34585|24857|48431|2291|35940|20399|16094|22278|16701|47377|36583|15363|29125|18831|41759|36790|22901|2711|32736|32566|30436|16773|39616|5426|35204|28871|29083|4377|29561|5061|18457|40863|3936|6375|11838|40628|40411|24562|27542|27464|20706|1696|14277|31424|22941|40853|40920|4983
39,Pre Order,255,34084|48355|36722|4441|24945|47886|34747|11946|25164|43179|17955|26881|27133|28562|9771|30078|13381|13169|17632|37283|28445|28808|1620|42426|15896|5288|26783|16201|5606|8886|12762|35166|43358|22597|37630|6641|19147|28570|16014|27577|39055|8069|1078|12624|3387|49289|48058|14256|144|3170|27504|40275|44589|5394|12363|1790|23232|1360|49775|46501|36829|21509|49353|36155|34667|3462|12581|29360|27597|18627|45995|34682|31875|23651|14741|7400|4869|6962|37141|25261|668|14657|29514|1999|48405|41300|35726|30467|980|41508|20462|22285|42299|45960|19372|36818|12923|47214|1294|11990|9213|34780|16627|43574|24122|44228|41691|31501|11737|29268|7820|3657|35028|43413|21145|34041|45876|44662|40347|1877|19870|26633|19911|17087|36656|48622|48645|26272|8693|16156|6048|39937|30250|13676|33363|28758|38387|1030|42278|21617|46493|49677|41464|1573|9889|15211|339|18151|30773|10974|20242|45005|48199|18707|9687|43628|45703|25712|47975|23779|5475|35372|16634|10203|49559|1705|48105|21913|19476|12342|17084|31073|8381|32690|47170|14395|20082|7384|3828|1770|16165|128|24455|34330|39644|23610|10014|45004|42678|13617|2139|35765|45142|34798|11800|48977|5427|31229|20755|16767,11990|3170|15896|26881|47886|36722|34084|48355|4441|24945|25164|34747|11946|43179|17955|13169|9771|27133|28562|30078|13381|28445|17632|37283|1620|28808|42426|19147|12762|16201|5288|26783|5606|8886|22597|35166|43358|37630|6641|1078|27577|28570|16014|39055|8069|49289|12624|3387|14256|48058|144|14741|21509|1790|44589|27504|40275|5394|12363|49775|23232|1360|46501|36829|29360|34667|49353|36155|3462|12581|45995|27597|18627|31875|34682|23651|35726|668|6962|7400|4869|37141|25261|1999|14657|29514|48405|41300|42299|41508|30467|980|20462|22285|36818|45960|19372|47214|12923|1294|10974|36656|3657|44228|16627|9213|34780|43574|24122|11737|41691|31501|29268|7820|44662|21145|35028|43413|34041|45876|19870|40347|1877|19911|26633|17087|38387|6048|26272|48622|48645|8693|16156|13676|39937|30250|33363|28758|41464|21617|1030|42278|46493|49677|15211|1573|9889|18151|339|30773|47170|35372|43628|48199|20242|45005|18707|9687|47975|45703|25712|23779|5475|21913|49559|16634|10203|1705|48105|17084|19476|12342|8381|31073|32690|45004|16165|7384|14395|20082|3828|1770|34330|128|24455|23610|39644|10014|34798|2139|42678|13617|35765|45142|5427|11800|48977|20755|31229|16767
40,Pre Order,4095,3368|23733|26138|34388|5577|658|14196|12505|20851|36820|17985|41645|47747|4795|12093|47802|42889|43|31186|17388|37251|25965|18552|15289|21015|8087|15365|11678|33583|45623|34095|44087|47276|3834|38228|38630|21366|34624|33227|33020|5951|41319|1539|26237|40056|29254|15012|271|48816|12023|31765|43897|1630|39269|38012|13117|8912|37284|29025|12955|18606|45221|25264|19946|14453|14507|35621|40264|13947|47087|38560|9920|16030|18554|3772|17583|13610|9239|31519|16800|463|20874|3775|13537|17131|17111|1376|28190|7973|21697|3128|2539|36052|29269|13922|22129|46107|34546|10602|43661|14391|30397|42329|37237|3371|23198|7390|8804|19700|34426|23720|32233|13289|43723|19988|26928|37061|42402|31759|48712|9420|38118|49235|12745|5977|16038|44837|31743|17568|21993|20872|4385|9294|32131|15051|27717|28694|12823|6652|28975|40537|22293|11201|6346|15475|4796|20958|30779|26259|43764|32713|13489|8635|27733|6921|27109|42366|8329|17982|40631|13860|14480|41414|49290|40371|11889|18775|7326|30340|44923|7266|16584|33406|19283|11112|17581|14846|13721|13182|12570|23576|31941|13042|46748|46426|24537|27253|38140|18799|43360|17490|20005|21938|17944|34700|7223|49073|4431|17333|19926,34546|15012|37251|12505|23733|3368|26138|34388|5577|658|14196|41645|20851|36820|17985|4795|47747|12093|47802|42889|43|31186|17388|44087|15289|25965|18552|8087|21015|15365|11678|33583|45623|34095|21366|47276|3834|38228|38630|33020|34624|33227|5951|41319|1539|26237|40056|29254|47087|13117|48816|271|12023|31765|43897|1630|39269|38012|18606|8912|37284|29025|12955|25264|45221|19946|14453|14507|35621|40264|13947|20874|18554|38560|9920|16030|17583|3772|13610|9239|31519|16800|463|28190|3775|13537|17131|17111|1376|3128|7973|21697|2539|36052|29269|13922|22129|46107|20958|48712|7390|43661|10602|14391|30397|42329|37237|3371|23198|23720|8804|19700|34426|13289|32233|43723|19988|26928|37061|42402|31759|20872|49235|9420|38118|5977|12745|16038|44837|31743|17568|21993|28694|4385|9294|32131|15051|27717|28975|12823|6652|40537|22293|11201|6346|15475|4796|16584|42366|43764|30779|26259|32713|13489|8635|27733|6921|27109|14480|8329|17982|40631|13860|40371|41414|49290|11889|18775|7326|30340|44923|7266|46748|17581|33406|19283|11112|13721|14846|13182|12570|23576|31941|13042|43360|46426|24537|27253|38140|18799|21938|17490|20005|34700|17944|7223|49073|4431|17333|19926
41,Pre Order,511,48657|9003|25389|27844|22425|31374|29967|38215|6947|12174|15859|3047|48837|18948|7273|45582|42961|39200|17674|40976|353|912|21663|26687|29977|39472|33726|21936|16547|19334|3911|47960|5870|37309|10457|48165|45638|63|24964|27086|10481|3988|20676|46837|23272|8777|25577|8823|31633|22959|13797|7969|29812|31087|33441|41547|25360|36782|49690|13054|44857|45309|32865|30945|48972|37228|1841|40397|44437|19285|41191|48804|19397|47990|35335|12063|27626|410|41710|21626|29236|44645|409|34856|49633|5757|16810|44685|19185|47479|44755|36745|5316|41417|944|41135|27740|45707|38128|42749|20383|38624|39315|21474|36647|2384|8511|37282|10414|17114|47278|40622|27706|23425|47672|26533|6817|10122|46176|36604|19778|37964|46978|19061|6450|32392|35463|45074|30394|24079|30627|28050|46563|19576|40463|39722|35735|19913|26880|3280|13811|41602|36534|43688|30382|43107|35605|37112|26607|40170|23184|4891|34283|42790|34603|46958|18202|49981|29693|8918|11930|18798|19058|20878|39100|40387|2857|20541|40789|21828|6655|527|24156|33994|49057|4771|14452|17118|17161|40182|27471|45010|49857|7908|21624|12542|39130|20815|42089|49733|24520|48668|43043|26946|12540|28548|40435|10649|32764|25001|38268|29748|24760|3562|30754|42404|38980|10217|36678|34727|22266|11793|2355|26819|18890|39987|2464|46924|25278|3148|5418|9071|21928|34728|6347|23065|41366|28106|5800|27615|13807|48228|41205|43374|17815|11774|24117|42574|29587|45587|12771|12833|31204|16680|39081|36691|3981|29191|26186|25660|11286|9985|14557|12736|26724|33085|24303|24675|39533|23772|46656|909|40565|40263|25416|21875|43034|41350|5349|36624|13933|11275|14704|39236|9111|25296|45104|20928|49164|45543|13481|9772|18120|22704|22823|41392|45190|5796|4714|16232|40134|36882|10227|46524|4056|27934|43501|23330|2627|46381,40170|35335|45638|39200|6947|27844|9003|48657|25389|31374|22425|29967|38215|48837|15859|12174|3047|7273|18948|45582|42961|33726|912|40976|17674|353|26687|21663|29977|39472|47960|16547|21936|19334|3911|37309|5870|10457|48165|41547|8777|10481|24964|63|27086|20676|3988|46837|23272|13797|8823|25577|31633|22959|29812|7969|31087|33441|48972|13054|36782|25360|49690|45309|44857|32865|30945|19285|1841|37228|40397|44437|48804|41191|19397|47990|40622|5316|34856|41710|27626|12063|410|29236|21626|44645|409|44685|5757|49633|16810|47479|19185|44755|36745|38624|27740|944|41417|41135|38128|45707|42749|20383|8511|21474|39315|36647|2384|10414|37282|17114|47278|30627|19778|26533|23425|27706|47672|10122|6817|46176|36604|32392|46978|37964|19061|6450|45074|35463|30394|24079|3280|40463|46563|28050|19576|35735|39722|19913|26880|30382|41602|13811|36534|43688|35605|43107|37112|26607|6347|39130|20541|29693|42790|4891|23184|34283|46958|34603|18202|49981|19058|11930|8918|18798|39100|20878|40387|2857|14452|527|21828|40789|6655|33994|24156|49057|4771|45010|17161|17118|40182|27471|7908|49857|21624|12542|42404|28548|24520|42089|20815|49733|43043|48668|26946|12540|38268|10649|40435|32764|25001|24760|29748|3562|30754|18890|34727|10217|38980|36678|11793|22266|2355|26819|3148|2464|39987|46924|25278|9071|5418|21928|34728|40565|16680|43374|5800|41366|23065|28106|13807|27615|48228|41205|29587|11774|17815|24117|42574|12771|45587|12833|31204|14557|29191|36691|39081|3981|25660|26186|11286|9985|24675|26724|12736|33085|24303|23772|39533|46656|909|9772|11275|43034|25416|40263|21875|5349|41350|36624|13933|45104|39236|14704|9111|25296|49164|20928|45543|13481|40134|41392|22704|18120|22823|5796|45190|4714|16232|27934|10227|36882|46524|4056|23330|43501|2627|46381
42,Pre Order,8191,26672|23207|20723|3702|23567|46905|22668|15635|17406|2116|14044|42446|43160|15327|33017|48107|38365|26143|4263|47640|22366|228|20271|16008|27005|25907|11523|5686|42139|15996|15302|6102|18914|24139|8328|25439|31517|41118|48064|3781|26540|37887|31342|28612|42478|23655|18180|48022|24580|32834|41233|8723|10979|44468|40259|37690|27312|8795|13992|14229|43820|3332|31579|32979|48097|21534|21203|36170|1998|33483|48141|7482|45975|9361|11200|6372|30630|2976|42675|47108|29057|48813|21267|45432|13600|46846|35763|44561|20168|1255|20348|9477|10269|35051|5956|20884|22119|46286|45616|17699|11799|49299|45873|31300|9380|15600|16786|45509|20417|46163|40242|19135|14782|8586|16631|279|26|48667|39791|33074|47318|23241|33594|20509|49936|40689|18164|19468|16185|16167|1662|35261|14985|6172|20671|38652|35005|17376|4987|28620|40112|35309|13373|25508|43867|760|39232|29564|578|5103|16230|16580|18008|33541|38074|6211|3815|13215|887|3963|20130|15853|24340|9865|9908|10718|12635|42610|17675|32817|25728|34506|43803|20184|7800|14958|34831|3083|15830|14630|28018|2127|40637|41619|5903|15020|22924|31720|40933|9638|36367|41728|1751|34164|13951|38823|25473|39709|25116|641|4632|17243|29401|28903|28908|33049|38366|1457|45649|43048|12197|14403|4805|35015|22938|8476|23396|43385|26199|39872|6622|3039|18845|22161|34574|5328|41718|22611|43890|36414|8264|13556|17163|37838|31019|1126|16221|21445|11169|30031|10681|41009|44353|26194|1366|24101|40819|42736|14838|21021|17861|4696|42065|45761|23489|10647|6418|45022|49259|24171|7365|33688|36369|44574|10159|33522|48836|15477|7739|46770|4252|754|49800|9043|39450|45672|25096|4472|16186|10706|28896|31157|8870|43023|48078|40437|33094|43403|10275|47647|44075|26038|40217|35473|11399|17698|30848|13545|24205|25817,29564|7482|24139|33017|23567|26672|23207|20723|3702|15635|46905|22668|17406|2116|14044|42446|43160|15327|228|48107|38365|26143|4263|47640|22366|25907|20271|16008|27005|5686|11523|42139|15996|15302|6102|18914|41233|3781|8328|25439|31517|41118|48064|31342|26540|37887|42478|28612|23655|18180|48022|24580|32834|13992|10979|8723|44468|40259|37690|27312|8795|31579|14229|43820|3332|48097|32979|21534|21203|36170|1998|33483|48141|45509|44561|2976|45975|9361|11200|6372|30630|29057|42675|47108|48813|21267|45432|13600|46846|35763|20884|1255|20168|20348|9477|10269|35051|5956|17699|22119|46286|45616|49299|11799|45873|31300|9380|15600|16786|40689|16631|20417|46163|40242|19135|14782|8586|48667|279|26|33074|39791|47318|23241|33594|20509|49936|20671|19468|18164|16185|16167|1662|35261|14985|6172|4987|38652|35005|17376|40112|28620|35309|13373|25508|43867|760|39232|3039|40637|24340|18008|578|5103|16230|16580|6211|33541|38074|3815|13215|887|3963|20130|15853|25728|9908|9865|10718|12635|42610|17675|32817|7800|34506|43803|20184|34831|14958|3083|15830|14630|28018|2127|641|40933|41619|5903|15020|22924|31720|41728|9638|36367|34164|1751|13951|38823|25473|39709|25116|45649|17243|4632|29401|28903|28908|33049|38366|1457|4805|43048|12197|14403|22938|35015|8476|23396|43385|26199|39872|6622|49259|21445|22611|18845|22161|34574|5328|41718|8264|43890|36414|13556|17163|37838|31019|1126|16221|24101|30031|11169|10681|41009|44353|26194|1366|21021|40819|42736|14838|4696|17861|42065|45761|23489|10647|6418|45022|4472|33522|24171|7365|33688|36369|44574|10159|46770|48836|15477|7739|754|4252|49800|9043|39450|45672|25096|33094|10706|16186|28896|31157|8870|43023|48078|40437|26038|43403|10275|47647|44075|35473|40217|11399|17698|30848|13545|24205|25817
